properties{
  x = 0,
  y = 0,
  width = 320,
  height = 240,
  min_layer = 0,
  max_layer = 2,
  tileset = "d3set",
}

tile{
  layer = 0,
  x = 32,
  y = 0,
  width = 256,
  height = 32,
  pattern = "35",
}

tile{
  layer = 0,
  x = 0,
  y = 32,
  width = 32,
  height = 176,
  pattern = "41",
}

tile{
  layer = 0,
  x = 288,
  y = 32,
  width = 32,
  height = 176,
  pattern = "37",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 288,
  y = 0,
  width = 32,
  height = 32,
  pattern = "aasf",
}

tile{
  layer = 0,
  x = 0,
  y = 208,
  width = 32,
  height = 32,
  pattern = "40",
}

tile{
  layer = 0,
  x = 288,
  y = 208,
  width = 32,
  height = 32,
  pattern = "38",
}

tile{
  layer = 0,
  x = 32,
  y = 208,
  width = 112,
  height = 32,
  pattern = "39",
}

tile{
  layer = 0,
  x = 176,
  y = 208,
  width = 112,
  height = 32,
  pattern = "39",
}

tile{
  layer = 0,
  x = 232,
  y = 200,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 232,
  y = 176,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 232,
  y = 184,
  width = 8,
  height = 16,
  pattern = "98_2",
}

tile{
  layer = 0,
  x = 288,
  y = 104,
  width = 32,
  height = 8,
  pattern = "54_8",
}

tile{
  layer = 0,
  x = 288,
  y = 112,
  width = 32,
  height = 16,
  pattern = "55_8",
}

tile{
  layer = 0,
  x = 288,
  y = 128,
  width = 32,
  height = 8,
  pattern = "56_8",
}

tile{
  layer = 0,
  x = 0,
  y = 112,
  width = 32,
  height = 16,
  pattern = "55_7",
}

tile{
  layer = 0,
  x = 0,
  y = 128,
  width = 32,
  height = 8,
  pattern = "56_7",
}

tile{
  layer = 0,
  x = 0,
  y = 104,
  width = 32,
  height = 8,
  pattern = "54_7",
}

tile{
  layer = 0,
  x = 256,
  y = 208,
  width = 16,
  height = 32,
  pattern = "52_8",
}

tile{
  layer = 0,
  x = 272,
  y = 208,
  width = 8,
  height = 32,
  pattern = "51_8",
}

tile{
  layer = 0,
  x = 248,
  y = 208,
  width = 8,
  height = 32,
  pattern = "50_7",
}

tile{
  layer = 0,
  x = 176,
  y = 208,
  width = 8,
  height = 32,
  pattern = "51_8",
}

tile{
  layer = 0,
  x = 136,
  y = 208,
  width = 8,
  height = 32,
  pattern = "50_7",
}

tile{
  layer = 0,
  x = 48,
  y = 208,
  width = 16,
  height = 32,
  pattern = "52_8",
}

tile{
  layer = 0,
  x = 64,
  y = 208,
  width = 8,
  height = 32,
  pattern = "51_8",
}

tile{
  layer = 0,
  x = 40,
  y = 208,
  width = 8,
  height = 32,
  pattern = "50_7",
}

tile{
  layer = 0,
  x = 192,
  y = 160,
  width = 96,
  height = 16,
  pattern = "103",
}

tile{
  layer = 0,
  x = 32,
  y = 160,
  width = 96,
  height = 16,
  pattern = "103",
}

tile{
  layer = 0,
  x = 112,
  y = 96,
  width = 16,
  height = 112,
  pattern = "103",
}

tile{
  layer = 0,
  x = 192,
  y = 96,
  width = 16,
  height = 112,
  pattern = "103",
}

tile{
  layer = 0,
  x = 128,
  y = 128,
  width = 64,
  height = 16,
  pattern = "103",
}

tile{
  layer = 0,
  x = 80,
  y = 64,
  width = 32,
  height = 32,
  pattern = "44",
}

tile{
  layer = 0,
  x = 208,
  y = 64,
  width = 32,
  height = 32,
  pattern = "45",
}

tile{
  layer = 0,
  x = 32,
  y = 64,
  width = 48,
  height = 32,
  pattern = "35",
}

tile{
  layer = 0,
  x = 240,
  y = 64,
  width = 48,
  height = 32,
  pattern = "35",
}

tile{
  layer = 0,
  x = 0,
  y = 64,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 288,
  y = 64,
  width = 32,
  height = 32,
  pattern = "aasf",
}

tile{
  layer = 0,
  x = 208,
  y = 0,
  width = 32,
  height = 32,
  pattern = "aasf",
}

tile{
  layer = 0,
  x = 80,
  y = 0,
  width = 32,
  height = 32,
  pattern = "34",
}

tile{
  layer = 0,
  x = 80,
  y = 32,
  width = 32,
  height = 32,
  pattern = "41",
}

tile{
  layer = 0,
  x = 208,
  y = 32,
  width = 32,
  height = 32,
  pattern = "37",
}

tile{
  layer = 0,
  x = 184,
  y = 200,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 184,
  y = 184,
  width = 8,
  height = 16,
  pattern = "98_2",
}

tile{
  layer = 0,
  x = 128,
  y = 200,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 128,
  y = 184,
  width = 8,
  height = 16,
  pattern = "98_2",
}

tile{
  layer = 0,
  x = 80,
  y = 200,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 80,
  y = 184,
  width = 8,
  height = 16,
  pattern = "98_2",
}

tile{
  layer = 0,
  x = 40,
  y = 176,
  width = 16,
  height = 8,
  pattern = "86_2",
}

tile{
  layer = 0,
  x = 184,
  y = 176,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 128,
  y = 176,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 32,
  y = 176,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 56,
  y = 176,
  width = 8,
  height = 8,
  pattern = "79_2",
}

tile{
  layer = 0,
  x = 80,
  y = 176,
  width = 8,
  height = 8,
  pattern = "79_2",
}

switch{
  name = "f1LastRoomSwitch",
  layer = 0,
  x = 256,
  y = 144,
  subtype = "walkable",
  sprite = "switches/switch_plate",
  needs_block = true,
  inactivate_when_leaving = false,
}

chest{
  layer = 0,
  x = 160,
  y = 45,
  sprite = "chests/chest_blue",
}

pickable{
  layer = 0,
  x = 160,
  y = 61,
  treasure_name = "heart",
}

block{
  layer = 0,
  x = 160,
  y = 93,
  sprite = "world_objects/brazier",
  pushable = true,
  pullable = false,
}

block{
  layer = 0,
  x = 232,
